Time,Learning rate,Train loss,Validation loss,MAE_energy_U0
7.174772024154663,0.01,9.07178258895874,4.996833229064942,1.7687783203125
11.148701429367065,0.01,3.9618285655975343,2.7287415981292726,1.2968447265625
16.925061464309692,0.01,2.198239469528198,1.4828891277313232,0.982146484375
20.23263907432556,0.01,1.1928211331367493,1.0310190320014954,0.796669921875
23.97214698791504,0.01,0.8501304924488068,0.8896388292312623,0.774421875
27.58597183227539,0.01,0.6989665448665618,0.6685057520866394,0.66345703125
31.053424835205078,0.01,0.5003940552473068,0.42961073517799375,0.5129365234375
34.356045722961426,0.01,0.39103642106056213,0.374615740776062,0.486421875
37.63997173309326,0.01,0.3180414974689484,0.2855162024497986,0.4149208984375
41.24252939224243,0.01,0.29219805896282197,0.3007987171411514,0.4289248046875
