SMILES,LOGS
[H]OC1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])OC2=C([H])C(O[H])=C([H])C(O[H])=C2C1=O,-3.34
[H]OC1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])OC2=C([H])C(O[H])=C([H])C([H])=C2C1=O,-3.48
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-0.74
C1N[C@@H](CC=C1)C1=CN=CC=C1,-1.18
COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1,-3.34
CC(CC(O)=O)CC(O)=O,-0.6
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-2.39
CCCCCC\C=C\CCCCCCCCCC(O)=O,-6.36
CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,-7.21
NC1=NC=NC(N)=C1NC=O,-1.25
[H]\C(=C(\[H])C(O)=O)C(O)=O,-0.68
CN1C=NC2=C1C(=O)N(C)C(O)=N2,-1.3
OC(=O)CCCCCCCCCCCCC(O)=O,-3.85
[H]N([H])C(=O)C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,-2.02
CCC(O)C(O)=O,0.67
OCC1=CC=C(O1)C(O)=O,-0.66
NCC(=O)CCC(O)=O,0.12
CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,-2.86
NCCC1=CNC2=CC=CC=C12,-2.08
CC(=O)N[C@@H](CCC(N)=O)C(O)=O,-0.93
OC(=O)CC1=CN=CC=C1,-0.37
OC(=O)CCCCCCC(=O)NCC(O)=O,-2.06
OCC1=CNC2=C1C=CC=C2,-1.59
COC1=CC(C(O)=O)=C(O)C=C1,-1.7
CC(CC(O)=O)C(O)=O,-0.11
CC(C)=CC(O)=O,-0.15
[H]C1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O,0.64
CC(C)CC(O)=O,-0.2
C[C@@H](CCC(O)=O)CC(O)=O,-0.98
OC[C@H](O)[C@H](O)[C@H](O)CO,0.64
O=C1CCCO1,0.44
OC(=O)[C@@H]1CCC(=O)N1,0.07
CC(=O)N[C@@H](CC(O)=O)C(O)=O,-0.92
[H]\C(\C(\[H])=C(/[H])C1=C([H])C([H])=C2OC([H])([H])OC2=C1[H])=C(\[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-3.28
CC(C)C(=O)C(O)=O,-0.59
[H]OC(=O)C1=C([H])C(=O)N([H])C(=O)N1[C@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],-0.81
[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-4.3
OC(=O)C=O,0.48
[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)C2C[C@H](O)CC[C@]12C,-4.42
OC(=O)CC1=CNC2=CC=C(O)C=C12,-2.03
CC(O)CO,1.1
OC(=O)CCC(=O)C(O)=O,-0.44
NCCC1=C(O)C=C(O)C(O)=C1,-1.44
COC1=CC(\C=C\C(O)=O)=CC(OC)=C1OC,-3.05
OC(=O)CC\C=C/CCC(O)=O,-1.74
[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[C@@]3([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[C@@]4([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])O[C@]4([H])C([H])([H])O[H])O[C@]3([H])C([H])([H])O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],-0.28
C\C=C\C(C)=O,-0.42
CC(O)(CCO)CC(O)=O,0.45
CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,-4.82
NCCC[C@H](N)C(O)=O,0.11
[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,-3.95
N[C@@H](CCCNC(N)=O)C(O)=O,-0.9
CC(C)[C@@](O)(CC(O)=O)C(O)=O,0.01
CCCCO,0.33
CC(C)CO,0.28
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](O)CC[C@]12C,-4.66
OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,0.8
OC(=O)CNC(=O)C1=CC=CC=C1,-2.18
NC(CCCC(O)=O)C(O)=O,-0.69
[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,-6.41
CN[C@H](CC(O)=O)C(O)=O,-0.56
OC(=O)CC(O)(CC(O)=O)C(O)=O,-0.26
CCCCC(O)=O,-0.4
CCCCC(=O)C(O)=O,-1.21
[H]OC(=O)C([H])([H])C([H])([H])C1=C([H])C(O[H])=C(O[H])C([H])=C1[H],-1.84
COC(=O)CNC(=O)C1=CC=CC=C1,-2.37
O=C1C=CC(=O)C=C1,-0.38
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O,-0.17
OC(=O)CNC(=O)C1=CC=CO1,-1.29
N[C@@H](CCCNC(N)=N)C(O)=O,-1.88
OC1=CC=CC=C1,-0.31
OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,0.52
CC(O)C(O)=O,0.79
CCCCC\C=C\C(O)=O,-2.28
CC(O)=O,0.73
CCC=O,0.4
CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,0.06
[H]OC1=C([H])C(O[H])=C2C(O[C@]([H])(C3=C([H])C(O[H])=C(O[H])C([H])=C3[H])[C@@]([H])(O[H])C2([H])[H])=C1[H],-2.65
NCCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O,-1.51
CC(C)C[C@H](NC(=O)CN)C(O)=O,-1.09
CCCCCCCCCCCCCCCCCCCC(O)=O,-6.8
NCC(=O)NCC(O)=O,-0.21
OC(=O)CCC=O,0.28
OC(CCCCCCCCC(O)=O)CC(O)=O,-2.47
OC(=O)C1=CC(=O)NC(=O)N1,-1.54
CCC(C)C(=O)C(O)=O,-1.12
CN1C=NC=C1CCN,-1.41
O[C@@H](CCC(O)=O)C(O)=O,0.03
C[C@H](O)C(=O)C1=NC2=C(NC1)NC(N)=NC2=O,-2.3
NC1=C(O)C=CC=C1C(O)=O,-1.16
CCCCCCCC(=O)NCC(O)=O,-2.3
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,0.64
N[C@@H](CC1=CC=C(OC2=CC=C(O)C=C2)C=C1)C(O)=O,-3.73
[H]OC(=O)C(\[H])=C(/[H])C1=C([H])N=C([H])N1[H],-0.82
[H]O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])C([H])([H])[H],0.83
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,-3.27
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(O)=C3,-3.75
[H]OC1=C([H])C(O[H])=C2C(=O)C(O[C@]3([H])O[C@]([H])(C([H])([H])O[C@]4([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]4([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]3([H])O[H])=C(OC2=C1[H])C1=C([H])C([H])=C(O[H])C(O[H])=C1[H],-2.24
COC1=CC=C(CC(O)=O)C=C1,-2.07
CC(C)C1=C(O)C=C(C)C=C1,-2.37
CO,1.21
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)=CN=C2N1,-3.91
OC(=O)C1=COC=C1,-0.57
CN(CCCC(=O)C1=CC=CN=C1)N=O,-2.28
[H][C@@]12C[C@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,-3.38
OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.29
CCC(C(O)=O)C1=CC=CC=C1,-2.07
[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,-4.18
CCC(C)C(=O)NCC(O)=O,-1.25
CC(C)=O,0.52
CCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,-4.86
[H][C@]1(CCCN1C)C1=CC=CN=C1,-0.24
CC1=NC=C(CO)C(C(O)=O)=C1O,-1.32
CCC(O)(CC)C(O)=O,0.15
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-3.42
NCCCCCN,-0.06
CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N=C1N,-1.09
NCCCC[C@H](N)C(O)=O,-0.14
CC(=O)OC[C@H](N)C(O)=O,0.07
C[C@]1(O)CCOC(=O)C1,0.38
[H][C@@]12C[C@@H](O)[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,-3.76
OC(=O)CCCC(=O)C(O)=O,-0.83
CNC(=O)C1=CN=CC=C1,-0.87
CCC(=O)C(C)C(O)=O,-0.33
[H][C@@]12CC=C(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-4.51
OC(=O)C#CC1=CC=CC=C1,-2.87
CC(C)C(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,-3.69
OCC(O)C=O,0.96
CN1C(N)=NC2=C(NC=N2)C1=O,-1.44
CCCCCCCCCCCCCCCCCCCCC(O)=O,-6.92
OC(=O)CC(=O)C(O)=O,-0.36
COC1=CC(CC(O)C(O)=O)=CC=C1O,-1.69
CCCCCC\C=C/CCCCCCCCCC(O)=O,-6.36
OC(=O)C\C=C\CC(O)=O,-1.12
[H][C@@]12C[C@@H](O)C(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,-3.79
N[C@H](CO)C(O)=O,0.66
N[C@@H](CC1=CC=CC=C1)C(O)=O,-1.6
OC(=O)C1CC(=O)NC(=O)N1,-1.1
OC(=O)C1=CC=C(C=C1)C(O)=O,-1.86
